,법정동코드,평당가(만원)
0,11110101,6.11
1,11110102,5.4126315789473685
2,11110104,6.043333333333333
3,11110105,7.78
4,11110106,17.14
5,11110108,6.0425
6,11110109,6.735833333333333
7,11110110,6.75375
8,11110111,7.285454545454545
9,11110112,6.251304347826087
10,11110113,8.612499999999999
11,11110115,4.581666666666667
12,11110118,8.021176470588236
13,11110121,8.71
14,11110129,6.0
15,11110132,10.051666666666668
16,11110133,10.075555555555555
17,11110134,10.577142857142857
18,11110135,9.888333333333334
19,11110137,11.916666666666666
20,11110139,6.0
21,11110140,6.0633333333333335
22,11110141,9.17
23,11110143,9.0
24,11110146,7.425714285714285
25,11110148,6.669999999999999
26,11110149,6.08625
27,11110155,13.150454545454545
28,11110157,8.638260869565217
29,11110159,11.9928125
30,11110160,9.2455
31,11110162,12.469714285714286
32,11110163,14.168571428571429
33,11110164,10.91
34,11110165,7.841666666666667
35,11110166,7.588571428571428
36,11110167,6.517
37,11110168,6.512873563218391
38,11110169,7.981643835616438
39,11110170,9.222191011235955
40,11110171,8.966509433962264
41,11110172,9.09375
42,11110173,8.178333333333335
43,11110174,5.235057471264367
44,11110175,8.575242566510171
45,11110180,11.727058823529413
46,11110181,4.7791836734693875
47,11110182,6.776666666666666
48,11110183,4.7416
49,11110184,6.647916666666667
50,11110185,6.27125
51,11110186,6.978333333333333
52,11110187,5.8725000000000005
53,11140112,7.8183333333333325
54,11140113,7.640000000000001
55,11140121,8.509473684210526
56,11140122,10.322666666666667
57,11140123,12.5
58,11140125,10.657454545454545
59,11140128,7.8675
60,11140129,7.242
61,11140133,10.178095238095239
62,11140136,9.13084745762712
63,11140137,11.25
64,11140138,9.1325
65,11140139,8.241489361702127
66,11140142,7.48
67,11140143,9.700655737704919
68,11140144,8.067195121951219
69,11140145,12.334999999999999
70,11140146,8.718709677419353
71,11140147,9.734347826086957
72,11140148,9.596666666666666
73,11140150,9.5
74,11140151,6.400999999999999
75,11140152,4.6
76,11140154,10.968684210526316
77,11140158,9.642173913043479
78,11140161,10.548076923076923
79,11140162,7.333368055555555
80,11140163,10.987966101694914
81,11140164,11.337857142857143
82,11140165,7.946118421052631
83,11140167,17.130000000000003
84,11140169,5.0
85,11140171,7.931029411764705
86,11140173,8.803333333333335
87,11140174,5.138
88,11170101,7.0443575418994415
89,11170102,5.471046511627907
90,11170104,6.915283018867925
91,11170105,6.113333333333333
92,11170107,10.665104166666667
93,11170108,5.571777777777777
94,11170109,5.595777777777778
95,11170110,8.924135338345865
96,11170111,8.922792792792793
97,11170112,5.669659442724458
98,11170113,7.406000000000001
99,11170114,6.305625
100,11170115,1.6489473684210525
101,11170117,10.575813953488371
102,11170118,8.086
103,11170119,7.663703703703703
104,11170120,1.6224242424242423
105,11170121,8.257352941176471
106,11170122,12.99018691588785
107,11170123,6.905789473684211
108,11170124,7.8462499999999995
109,11170125,5.154714285714285
110,11170126,8.5
111,11170128,7.841363636363636
112,11170129,6.0627272727272725
113,11170130,7.117622377622378
114,11170131,7.6166019417475725
115,11170132,4.385294117647058
116,11170133,5.746153846153846
117,11170134,5.303333333333334
118,11170136,4.934838709677419
119,11200101,5.6390769230769235
120,11200102,7.750087719298246
121,11200103,6.933207547169811
122,11200104,9.937857142857142
123,11200105,8.644288659793814
124,11200106,7.477223974763407
125,11200107,7.492749590834697
126,11200108,3.5908333333333338
127,11200109,3.7777966101694913
128,11200110,5.152500000000001
129,11200111,4.901803278688525
130,11200112,5.096170212765958
131,11200113,4.4806944444444445
132,11200114,7.395633423180594
133,11200115,7.004723247232472
134,11200118,5.838220640569395
135,11200122,6.175400372439479
136,11215101,6.655140684410647
137,11215102,6.607344322344322
138,11215103,7.033386967015286
139,11215104,6.220609756097561
140,11215105,7.230379589296826
141,11215107,9.348946015424165
142,11215109,6.928558951965066
143,11230101,9.650617283950616
144,11230102,7.919727272727272
145,11230103,8.485087440381557
146,11230104,6.61032315978456
147,11230105,8.069545997610513
148,11230106,7.284588235294119
149,11230107,5.650372340425532
150,11230108,9.039319727891156
151,11230109,8.003872881355932
152,11230110,7.616826815642458
153,11260101,5.6306290531776915
154,11260102,7.1782352941176475
155,11260103,5.510488245931284
156,11260104,6.35168634064081
157,11260105,5.247695099818512
158,11260106,3.7050574712643676
159,11290101,5.5886885245901645
160,11290102,7.554102564102564
161,11290103,2.755
162,11290104,5.787307692307692
163,11290105,3.9166666666666665
164,11290106,8.605
165,11290107,8.184444444444445
166,11290108,16.343571428571426
167,11290109,9.345609756097561
168,11290110,6.858
169,11290111,6.000281690140845
170,11290112,7.4840322580645156
171,11290113,6.173333333333333
172,11290114,7.067878787878788
173,11290115,6.882666666666666
174,11290116,8.898260869565217
175,11290117,6.775111111111111
176,11290118,7.0433766233766235
177,11290119,7.581648351648351
178,11290120,6.491538461538462
179,11290121,6.780962962962962
180,11290122,6.8019417475728154
181,11290123,6.541363636363636
182,11290124,5.8966666666666665
183,11290125,8.652898550724638
184,11290126,5.023076923076923
185,11290127,5.663125
186,11290128,4.955245901639344
187,11290129,8.664285714285715
188,11290130,5.794705882352941
189,11290131,7.18319587628866
190,11290132,4.5475
191,11290133,6.678672875436553
192,11290134,2.7189808917197453
193,11290135,7.203223443223443
194,11290136,7.556704871060171
195,11290137,6.987864077669903
196,11290138,6.1092211838006225
197,11290139,5.336736526946108
198,11305101,5.110589335827877
199,11305102,5.613776223776224
200,11305103,7.949301634472511
201,11305104,6.011666666666667
202,11320105,5.279841521394611
203,11320106,6.794979674796748
