,법정동코드,평당가(만원)
0,11110101,4.75
1,11110102,3.402
2,11110104,3.89
3,11110105,4.535
4,11110108,7.19
5,11110109,2.6744444444444446
6,11110110,6.65
7,11110111,4.413333333333333
8,11110112,5.0
9,11110113,2.9633333333333334
10,11110115,3.4324999999999997
11,11110121,2.94
12,11110133,7.06
13,11110140,4.71
14,11110146,3.905
15,11110148,3.615
16,11110149,3.622
17,11110165,2.15
18,11110166,3.2066666666666666
19,11110167,2.8333333333333335
20,11110168,3.8969230769230765
21,11110169,5.3999999999999995
22,11110170,3.5055555555555555
23,11110171,5.4525
24,11110172,7.5
25,11110173,3.6305882352941174
26,11110174,4.117906976744186
27,11110175,3.999
28,11110180,1.76
29,11110181,3.098888888888889
30,11110182,4.6000000000000005
31,11110183,4.686999999999999
32,11110184,3.9560000000000004
33,11110185,4.12
34,11110186,4.734999999999999
35,11110187,3.75
36,11140121,2.715
37,11140134,3.75
38,11140136,5.176666666666667
39,11140138,4.035
40,11140139,3.188
41,11140142,6.67
42,11140143,4.421666666666667
43,11140144,3.31
44,11140147,3.89
45,11140162,4.331052631578947
46,11140165,5.225
47,11140171,3.1016666666666666
48,11140173,2.94
49,11170101,3.9379166666666667
50,11170102,4.416857142857143
51,11170104,3.8
52,11170108,3.4199999999999995
53,11170109,2.90875
54,11170110,3.18
55,11170111,3.118
56,11170112,4.568
57,11170113,3.645
58,11170114,4.234999999999999
59,11170115,5.192
60,11170116,4.17
61,11170117,3.38
62,11170118,4.8725000000000005
63,11170119,4.150526315789474
64,11170120,5.9
65,11170121,4.3325
66,11170124,3.606666666666667
67,11170125,4.38
68,11170128,4.25
69,11170129,4.216857142857143
70,11170130,4.918611111111111
71,11170131,3.9010714285714285
72,11170132,2.34375
73,11170133,3.59
74,11170134,3.53
75,11170136,3.5606521739130432
76,11200102,3.5007692307692304
77,11200103,1.88
78,11200104,4.362500000000001
79,11200105,3.5476190476190474
80,11200106,3.65
81,11200107,4.404186046511628
82,11200108,4.3
83,11200109,2.498235294117647
84,11200110,5.8525
85,11200111,4.202222222222222
86,11200112,3.9560000000000004
87,11200113,4.041666666666667
88,11200114,4.537419354838709
89,11200115,4.260909090909091
90,11200118,3.554705882352941
91,11200122,3.278461538461538
92,11215101,3.0453164556962027
93,11215102,3.938
