,법정동코드,평당가(만원)
0,11110101,7.085
1,11110102,4.157692307692307
2,11110104,4.55
3,11110105,6.22
4,11110106,7.27
5,11110108,5.262499999999999
6,11110109,3.85
7,11110110,1.54
8,11110111,4.848571428571428
9,11110112,4.739999999999999
10,11110113,5.2924999999999995
11,11110115,6.58125
12,11110118,8.038205128205128
13,11110121,4.21
14,11110124,8.315
15,11110131,4.42
16,11110133,6.516111111111111
17,11110134,6.0600000000000005
18,11110139,2.73
19,11110140,4.326666666666666
20,11110146,4.6975
21,11110148,5.494
22,11110149,4.113636363636363
23,11110159,4.23
24,11110160,6.25
25,11110165,3.5479999999999996
26,11110166,4.154285714285714
27,11110167,2.946
28,11110168,4.433870967741935
29,11110169,5.416071428571429
30,11110170,5.373333333333334
31,11110171,6.867142857142857
32,11110172,4.5825
33,11110173,5.204772727272727
34,11110174,3.748586956521739
35,11110175,4.70990990990991
36,11110179,4.62
37,11110181,2.7329032258064516
38,11110182,1.9616666666666667
39,11110183,3.8121428571428573
40,11110184,4.843571428571429
41,11110185,4.31
42,11110186,4.477692307692307
43,11110187,3.8579999999999997
44,11140112,4.775
45,11140121,4.8475
46,11140125,4.955
47,11140128,5.33
48,11140129,4.6325
49,11140133,9.344
50,11140134,4.01
51,11140136,5.0
52,11140138,5.916923076923077
53,11140139,4.866666666666666
54,11140142,1.77
55,11140143,4.479375
56,11140144,3.916111111111111
57,11140145,6.52
58,11140146,5.482727272727273
59,11140147,4.5
60,11140148,9.09
61,11140158,8.786666666666667
62,11140162,4.407220077220077
63,11140163,8.47
64,11140165,5.870416666666666
65,11140167,6.19
66,11140168,8.6525
67,11140169,8.99
68,11140171,5.1045
69,11140173,5.015000000000001
70,11140174,1.2766666666666666
71,11170101,4.225528455284553
72,11170102,4.407912087912088
73,11170104,4.672916666666667
74,11170105,6.34
75,11170107,3.478421052631579
76,11170108,3.8275
77,11170109,3.3388372093023255
78,11170110,4.547142857142857
79,11170111,4.5043902439024395
80,11170112,4.446578947368421
81,11170113,5.222222222222222
82,11170114,4.6
83,11170115,3.1825
84,11170116,4.285
85,11170117,4.090999999999999
86,11170118,4.7225
87,11170119,3.709
88,11170120,4.545
89,11170121,4.2655
90,11170122,7.825833333333333
91,11170124,6.538235294117648
92,11170125,3.2695876288659793
93,11170128,3.3384848484848484
94,11170129,3.6094444444444442
95,11170130,5.301459854014598
96,11170131,4.866491228070175
97,11170132,3.419285714285714
98,11170133,4.3149999999999995
