,index,법정동코드,평당가(만원)
244,244,11410117,7.395807754442649
245,245,11410118,4.968023255813954
246,246,11410119,4.745708502024292
247,247,11410120,5.62033527696793
248,248,11440101,7.143388157894737
249,249,11440102,6.825448577680525
250,250,11440103,8.401067961165047
251,251,11440104,6.68702380952381
252,252,11440105,5.665869565217391
253,253,11440106,5.626666666666666
254,254,11440107,8.17051724137931
255,255,11440108,7.526420454545455
256,256,11440109,6.470220385674931
257,257,11440110,8.795568720379148
258,258,11440111,7.14068870523416
259,259,11440112,3.9064864864864863
260,260,11440113,6.008947368421053
261,261,11440114,7.0600000000000005
262,262,11440115,6.525051546391753
263,263,11440116,4.043333333333333
264,264,11440117,4.738888888888889
265,265,11440118,5.191944444444444
266,266,11440120,7.134500978473581
267,267,11440121,7.353857142857143
268,268,11440122,6.912505643340857
269,269,11440123,6.228130590339893
270,270,11440124,7.066900584795321
271,271,11440125,8.054531707317073
272,272,11440126,5.635813953488372
273,273,11440127,6.467239130434782
274,274,11470101,3.953566009104704
275,275,11470102,5.918115438108484
276,276,11470103,3.67994964028777
277,277,11500101,7.197482014388489
278,278,11500102,6.418034257748777
279,279,11500103,5.629013292433538
280,280,11500104,5.848349633251834
281,281,11500105,7.807716603882932
282,282,11500106,3.136154929577465
283,283,11500107,4.262222222222222
284,284,11500108,5.498387096774193
285,285,11500109,5.34441200324412
286,286,11500110,3.71
287,287,11530101,7.504065040650406
288,288,11530102,5.7923462566844925
289,289,11530103,6.52622009569378
290,290,11530106,4.4704292527821945
291,291,11530107,4.0934127843987
292,292,11530108,4.38304347826087
293,293,11530109,3.8395483870967744
294,294,11530110,4.496440677966102
295,295,11530111,1.4418890814558059
296,296,11530112,4.01
297,297,11545101,8.685946337926033
298,298,11545102,5.145522943365027
299,299,11545103,4.447766097240473
300,300,11560101,5.247734806629834
301,301,11560102,9.882103825136612
302,302,11560103,9.121483050847457
303,303,11560104,9.87209677419355
304,304,11560105,9.879555555555555
305,305,11560106,6.679090909090909
306,306,11560107,7.134464285714286
307,307,11560108,7.444308176100629
308,308,11560109,8.89391304347826
309,309,11560110,9.79606936416185
310,310,11560111,5.868130081300813
311,311,11560112,5.935729166666667
312,312,11560113,8.096337209302325
313,313,11560114,6.789629629629629
314,314,11560115,9.207867298578199
315,315,11560116,7.86303867403315
316,316,11560117,7.5726395939086295
317,317,11560118,5.148214876033058
318,318,11560120,4.024705882352941
319,319,11560121,5.0055555555555555
320,320,11560122,5.485
321,321,11560123,6.015000000000001
322,322,11560124,5.593289473684211
323,323,11560125,6.350833333333333
324,324,11560126,7.986959064327485
325,325,11560127,7.450374999999999
326,326,11560128,7.1400574712643685
327,327,11560129,8.186285714285713
328,328,11560130,6.6216279069767445
329,329,11560132,5.121277514026759
330,330,11560133,5.585612802498049
331,331,11590101,8.341191222570533
332,332,11590102,6.1879194630872485
333,333,11590103,7.93960809102402
334,334,11590104,4.9222222222222225
335,335,11590105,7.563119092627599
336,336,11590106,4.55
337,337,11590107,6.169689713322091
338,338,11590108,6.831247113163972
339,339,11590109,5.886419213973799
340,340,11620101,6.273441700172315
341,341,11620102,6.3813954555887085
342,342,11620103,7.175650741350906
343,343,11650101,6.591625227410552
344,344,11650102,6.004457050243112
345,345,11650103,4.229750889679715
346,346,11650106,7.190428571428572
347,347,11650107,7.092807453416149
348,348,11650108,9.141348897535668
349,349,11650109,2.336315789473684
350,350,11650110,5.376666666666667
351,351,11650111,5.488827586206897
352,352,11680101,9.223753792804509
353,353,11680103,6.614387211367673
354,354,11680104,9.12746355685131
355,355,11680105,7.7324531024531025
356,356,11680106,7.564565217391305
357,357,11680107,7.6527507163323785
358,358,11680108,8.0104839764552
359,359,11680110,9.0
360,360,11680111,4.463043478260869
361,361,11680112,6.817369230769231
362,362,11680113,3.939302325581395
363,363,11680114,6.319756756756757
364,364,11680115,7.586226415094339
365,365,11680118,7.723653250773993
366,366,11710101,6.328633921719109
367,367,11710102,8.381351351351352
368,368,11710103,5.145933926302414
369,369,11710104,6.4953808353808355
370,370,11710105,6.462620087336244
371,371,11710106,5.677636489288183
372,372,11710107,6.115692464358451
373,373,11710108,9.09396694214876
374,374,11710109,1.5795691609977325
375,375,11710111,8.5898143091207
376,376,11710112,3.2506986301369865
377,377,11710113,3.4266157205240177
378,378,11710114,2.953945205479452
379,379,11740101,7.313969465648855
380,380,11740102,4.007897897897898
381,381,11740103,2.729171974522293
382,382,11740105,6.715013452914798
383,383,11740106,4.82425
384,384,11740107,4.858304779080252
385,385,11740108,5.607328417470221
386,386,11740109,5.969627234689996
387,387,11740110,2.790558943089431
